"Gross Domestic Product, by Industry, Growth Rates",,,,,,,,,,,,
,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,
,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
"Agriculture, forestry, and fishing",10.70,1.30,3.80,7.80,-5.40,0.70,9.20,4.50,-2.30,6.20,6.90,7.60
Industry,4.60,9.20,6.80,10.60,3.70,7.80,8.80,11.90,6.00,-13.90,10.00,14.80
Mining and quarrying,11.90,-13.00,-4.00,13.80,-16.90,5.20,17.60,10.30,-1.00,-15.20,35.20,51.20
Manufacturing,6.90,7.10,4.40,10.30,2.30,6.70,8.90,8.00,3.60,-12.30,8.00,10.90
"Electricity, steam, water and waste management",2.80,13.20,5.70,6.10,4.00,5.20,8.30,10.30,9.10,0.50,6.50,14.60
Construction,-5.30,22.80,19.20,13.20,11.80,12.90,7.80,24.20,11.80,-23.20,14.20,19.80
Services,9.20,10.90,11.40,9.50,9.00,10.40,9.70,10.50,8.80,-7.20,7.50,13.80
Wholesale and retail trade; repair of motor vehicles and motorcycles,8.50,10.20,10.60,8.40,7.80,9.90,9.70,10.60,8.70,-5.70,5.60,13.80
Transportation and storage,10.60,10.00,9.50,12.10,11.20,10.30,9.80,9.50,8.60,-27.30,9.80,33.30
Accommodation and food service activities,11.10,13.30,11.00,14.50,12.90,16.10,13.60,16.50,7.10,-41.40,12.70,38.50
Information and communication,3.10,5.20,3.70,3.50,6.10,3.80,3.60,5.20,9.10,5.40,7.90,8.70
Financial and insurance activities,8.90,11.10,16.00,12.70,8.20,9.70,11.10,12.90,12.30,8.40,7.60,13.30
Real estate and ownership of dwellings,10.40,12.60,13.20,9.30,11.80,7.10,8.10,10.50,5.50,-13.90,5.30,9.70
Professional and business services,16.60,10.60,15.80,18.70,14.30,18.10,11.90,4.40,5.20,-6.70,7.50,10.50
Public administration and defense; compulsory social activities,8.20,12.70,5.80,2.60,2.30,11.70,14.20,19.60,16.00,6.70,8.00,8.50
Education,8.40,8.30,11.00,5.20,7.10,10.40,9.90,12.70,6.50,-7.60,10.70,11.00
Human health and social work activities,10.80,13.20,18.10,17.90,11.70,11.30,7.20,6.60,7.00,-1.40,18.60,6.70
Other services,8.30,20.80,11.20,2.50,10.20,6.70,3.80,5.70,9.60,-39.60,3.30,30.10
Gross Domestic Product,7.90,9.00,9.00,9.60,5.60,8.50,9.40,10.30,6.90,-8.00,8.10,13.50
,,,,,,,,,,,,
,,,,,,,,,,,,
Latest update:,,,,,,,,,,,,
20230427 10:00,,,,,,,,,,,,
,,,,,,,,,,,,
Source:,,,,,,,,,,,,
Philippine Statistics Authority (PSA),,,,,,,,,,,,
,,,,,,,,,,,,
Contact:,,,,,,,,,,,,
Mark C. Pascasio,,,,,,,,,,,,
Expenditure Accounts Division,,,,,,,,,,,,
Philippine Statistics Authority,,,,,,,,,,,,
"16th Flr. Cyberpod Centris Eton Three, cor. Quezon Avenue, Quezon City",,,,,,,,,,,,
Tel:(+632)83761982,,,,,,,,,,,,
m.pascasio@psa.gov.ph,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Units:,,,,,,,,,,,,
percent,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Official statistics,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Internal reference code:,,,,,,,,,,,,
2B5CPPH2,,,,,,,,,,,,
