Year-on-Year Changes of the Consumer Price Index in Percent by Commodity Group (2018=100): January 2019 - April 2023,,,,,,
,,,,,,
,,2019,2020,2021,2022,
,,Ave,Ave,Ave,Ave,
PHILIPPINES,0 - ALL ITEMS,2.4,2.4,3.9,5.8,
,01.1 - FOOD,1.4,2.9,4.5,6.1,
,02 - ALCOHOLIC BEVERAGES AND TOBACCO,12.0,15.4,9.7,7.9,
,03 - CLOTHING AND FOOTWEAR,2.6,2.3,1.8,2.6,
,"04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",2.5,0.7,2.5,6.4,
,"05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",2.9,3.2,2.1,3.2,
,06 - HEALTH,4.0,3.9,3.8,2.6,
,07 - TRANSPORT,1.1,1.5,9.3,12.9,
,08 - INFORMATION AND COMMUNICATION,0.4,0.5,0.6,0.6,
,"09 - RECREATION, SPORT AND CULTURE",3.5,1.0,0.3,2.3,
,10 - EDUCATION SERVICES,3.9,2.0,0.9,1.8,
,11 - RESTAURANTS AND ACCOMMODATION SERVICES,3.5,2.1,3.5,4.1,
,12 - FINANCIAL SERVICES,0.0,0.0,32.5,8.2,
,"13 - PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",2.4,2.4,2.3,3.0,
,,,,,,
,,,,,,
Latest update:,,,,,,
20230505 09:00,,,,,,
,,,,,,
Source:,,,,,,
Philippine Statistics Authority (PSA),,,,,,
,,,,,,
Contact:,,,,,,
Glen G. Polo,,,,,,
Price Statistics Division,,,,,,
Philippine Statistics Authority,,,,,,
"CyperPod Eton Centris 3, 16th Floor Edsa Corner Quezon Ave., Quezon City",,,,,,
Tel: (+632) 83761959,,,,,,
g.polo@psa.gov.ph,,,,,,
,,,,,,
,,,,,,
Units:,,,,,,
Percent,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Internal reference code:,,,,,,
2M4ACP10,,,,,,
